Genes,Reference,PMID,Notes
A1CF,"Ferndez-Rozadilla, Nat Genet, 2023",36539618,
AAGAB,,,Identifying putative susceptible transcription factors and genes for colorectal cancer: an integrated analysis of large-scale genetic and multi-omics data
AAMP,,,Identifying putative susceptible transcription factors and genes for colorectal cancer: an integrated analysis of large-scale genetic and multi-omics data
ABCF1,,,Identifying putative susceptible transcription factors and genes for colorectal cancer: an integrated analysis of large-scale genetic and multi-omics data
ABHD11,"Chen ZS, Nat Commun, 2024",38670944,
ABHD12B,"Chen ZS, Nat Commun, 2024",38670944,
AC004847.1,"Guo XY, Gastro, 2020",33058866,
AC016629.3,"Guo XY, Gastro, 2020",33058866,
AC019330.1,,,Identifying putative susceptible transcription factors and genes for colorectal cancer: an integrated analysis of large-scale genetic and multi-omics data
AC021016.1,"Guo XY, Gastro, 2020",33058866,
AC058791.1,,,Identifying putative susceptible transcription factors and genes for colorectal cancer: an integrated analysis of large-scale genetic and multi-omics data
AC074032.1,"Guo XY, Gastro, 2020",33058866,
AC144831.1,,,Identifying putative susceptible transcription factors and genes for colorectal cancer: an integrated analysis of large-scale genetic and multi-omics data
AC144831.3,"Chen ZS, JNCI, 2024",37632791,
ACAA2,"Ferndez-Rozadilla, Nat Genet, 2023",36539618,
ACAD10,"Ferndez-Rozadilla, Nat Genet, 2023",36539618,
ACP6,"Ferndez-Rozadilla, Nat Genet, 2023",36539618,
ACTN4,,,Identifying putative susceptible transcription factors and genes for colorectal cancer: an integrated analysis of large-scale genetic and multi-omics data
ACTR1B,"Guo XY, Gastro, 2020",33058866,
ACTRT3,"Chen ZS, Nat Commun, 2024",38670944,
ACY1,,,Identifying putative susceptible transcription factors and genes for colorectal cancer: an integrated analysis of large-scale genetic and multi-omics data
ADAMTS15,"Ferndez-Rozadilla, Nat Genet, 2023",36539618,
ADAMTS9,"Chen ZS, Nat Commun, 2024",38670944,
AL121832.2,"Guo XY, Gastro, 2020",33058866,
AL121832.3,"Guo XY, Gastro, 2020",33058866,
ALDH2,"Guo XY, Gastro, 2020",33058866,
ANKRD10,"Ferndez-Rozadilla, Nat Genet, 2023",36539618,
ANKRD27,,,Identifying putative susceptible transcription factors and genes for colorectal cancer: an integrated analysis of large-scale genetic and multi-omics data
ANO1,"Chen ZS, Nat Commun, 2024",38670944,
ARFGAP1,,,Identifying putative susceptible transcription factors and genes for colorectal cancer: an integrated analysis of large-scale genetic and multi-omics data
ARHGAP20,"Chen ZS, Nat Commun, 2024",38670944,
ARHGEF19,"Ferndez-Rozadilla, Nat Genet, 2023",36539618,
ARHGEF4,"Ferndez-Rozadilla, Nat Genet, 2023",36539618,
ARPC2,"Guo XY, Gastro, 2020",33058866,
ARPC5,"Ferndez-Rozadilla, Nat Genet, 2023",36539618,
ARRB1,,,Identifying putative susceptible transcription factors and genes for colorectal cancer: an integrated analysis of large-scale genetic and multi-omics data
AS3MT,"Chen ZS, Nat Commun, 2024",38670944,
ASAH2,"Chen ZS, JNCI, 2024",37632791,
ASAH2B,"Chen ZS, JNCI, 2024",37632791,
ASIC1,,,Identifying putative susceptible transcription factors and genes for colorectal cancer: an integrated analysis of large-scale genetic and multi-omics data
ATF1,"Chen ZS, Nat Commun, 2024",38670944,
ATP2C2,"Ferndez-Rozadilla, Nat Genet, 2023",36539618,
ATP6V1G2,"Guo XY, Gastro, 2020",33058866,
ATP8B1,"Ferndez-Rozadilla, Nat Genet, 2023",36539618,
ATXN10,"Chen ZS, Nat Commun, 2024",38670944,
ATXN2,"Chen ZS, JNCI, 2024",37632791,
ATXN7,"Ferndez-Rozadilla, Nat Genet, 2023",36539618,
B3GNT8,"Chen ZS, Nat Commun, 2024",38670944,
BAG6,,,Identifying putative susceptible transcription factors and genes for colorectal cancer: an integrated analysis of large-scale genetic and multi-omics data
BAMBI,"Chen ZS, Nat Commun, 2024",38670944,
BCL11B,"Chen ZS, Nat Commun, 2024",38670944,
BCL9L,"Chen ZS, Nat Commun, 2024",38670944,
BICC1,,,Identifying putative susceptible transcription factors and genes for colorectal cancer: an integrated analysis of large-scale genetic and multi-omics data
